	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
London	7.9	8.2	10.9	13.3	17.2	20.2	22.8	22.6	19.3	15.2	10.9	8.8
"Phoenix, AZ, US"	19.7	21.6	25.1	29.7	35	40.1	41.2	40.3	37.8	31.5	24.3	19
"New York City, NY, US"	3.5	5.3	9.8	16.2	21.6	26.3	28.9	28.1	24	17.7	12.1	6.1
"Vostok Station, Antarctica"	-27.1	-38.6	-52.8	-61.2	-62	-60.5	-62.4	-64	-61.8	-51.7	-37.3	-27.3
"Buenos Aires, Argentina"	30.4	28.7	26.4	22.7	19	15.6	13.9	17.3	18.9	22.5	25.3	28.1
"Sydney, Australia"	25.9	25.8	24.7	22.4	19.4	16.9	16.3	17.8	20	22.1	23.6	25.2
"Moscow, Russia"	-4	-3.7	2.6	11.3	18.6	22	24.3	21.9	15.7	8.7	0.9	-3
"Berlin, Germany"	2.9	4.2	8.5	13.2	18.9	21.8	24	23.6	18.8	13.4	7.1	4.4
"Beijing, China"	1.8	5	11.6	20.3	26	30.2	30.9	29.7	25.8	19.1	10.1	3.7
"Nairobi, Kenya"	24.5	25.6	25.6	24.1	22.6	21.5	20.6	21.4	23.7	24.7	23.1	23.4
